qid,relation_id,relation_labels
Q3228047,dict_keys([]),dict_values([])
Q1046707,"dict_keys(['record label', 'business division', 'production company', 'different from', 'category combines topics', ""category's main topic""])","dict_values(['P264', 'P199', 'P272', 'P1889', 'P971', 'P301'])"
Q2006311,"dict_keys(['place of birth', 'place of death', 'located in the administrative territorial entity', 'place of publication', 'residence', 'licensed to broadcast to', 'terminus location'])","dict_values(['P19', 'P20', 'P131', 'P291', 'P551', 'P1408', 'P609'])"
Q845465,"dict_keys(['performer', 'member of', 'category combines topics', 'influenced by'])","dict_values(['P175', 'P463', 'P971', 'P737'])"
Q557704,"dict_keys(['cast member', 'sibling'])","dict_values(['P161', 'P3373'])"
Q6194004,dict_keys([]),dict_values([])
Q541599,"dict_keys(['composer', 'author', 'cast member', 'performer', 'spouse', 'main subject', 'has part(s)', 'lyrics by', 'participant', 'category combines topics'])","dict_values(['P86', 'P50', 'P161', 'P175', 'P26', 'P921', 'P527', 'P676', 'P710', 'P971'])"
Q7495421,"dict_keys([""category's main topic""])",dict_values(['P301'])
Q2061008,dict_keys([]),dict_values([])
Q40949,"dict_keys(['part of', 'conflict', 'depicts', 'has part(s)', 'significant event', 'participant in', 'different from', 'has cause', 'main subject', 'time period', 'field of work', 'set in period', 'facet of', ""category's main topic"", 'category combines topics', ""Wikimedia portal's main topic""])","dict_values(['P361', 'P607', 'P180', 'P527', 'P793', 'P1344', 'P1889', 'P828', 'P921', 'P2348', 'P101', 'P2408', 'P1269', 'P301', 'P971', 'P1204'])"
Q457727,"dict_keys(['composer', 'category combines topics'])","dict_values(['P86', 'P971'])"
Q4922045,dict_keys([]),dict_values([])
Q379248,"dict_keys(['instance of', 'instrument', 'Wikidata property example'])","dict_values(['P31', 'P1303', 'P1855'])"
Q3071,"dict_keys(['field of work', 'movement', 'genre', 'subclass of', ""category's main topic"", 'item for this sense', 'influenced by', 'main subject', 'category combines topics', ""Wikimedia portal's main topic"", 'different from', 'interested in', 'template has topic', 'named after', 'performer'])","dict_values(['P101', 'P135', 'P136', 'P279', 'P301', 'P5137', 'P737', 'P921', 'P971', 'P1204', 'P1889', 'P2650', 'P1423', 'P138', 'P175'])"
Q4348620,"dict_keys(['composer', 'has part(s)', 'commemorates', 'different from', 'lyrics by', 'sibling'])","dict_values(['P86', 'P527', 'P547', 'P1889', 'P676', 'P3373'])"
Q2470063,dict_keys([]),dict_values([])
Q311760,"dict_keys(['author', 'doctoral advisor'])","dict_values(['P50', 'P184'])"
Q49085,"dict_keys(['part of', 'has part(s)', 'target', 'commemorates', 'field of work', 'ethnic group', 'depicts', 'country of citizenship', 'instance of', 'owned by', 'founded by', 'subclass of', ""category's main topic"", 'main subject', 'dedicated to', 'intended public', 'item for this sense', 'culture', 'studies', 'category combines topics', ""Wikimedia portal's main topic"", 'facet of', 'heritage designation', 'different from', 'has part(s) of the class'])","dict_values(['P361', 'P527', 'P533', 'P547', 'P101', 'P172', 'P180', 'P27', 'P31', 'P127', 'P112', 'P279', 'P301', 'P921', 'P825', 'P2360', 'P5137', 'P2596', 'P2578', 'P971', 'P1204', 'P1269', 'P1435', 'P1889', 'P2670'])"
Q438503,"dict_keys(['genre', 'subclass of', ""category's main topic"", 'field of work', 'facet of'])","dict_values(['P136', 'P279', 'P301', 'P101', 'P1269'])"
Q165603,"dict_keys(['part of', 'follows', 'followed by', 'main subject'])","dict_values(['P361', 'P155', 'P156', 'P921'])"
Q335515,"dict_keys(['composer', 'student', 'performer', 'category combines topics', 'winner', 'participant'])","dict_values(['P86', 'P802', 'P175', 'P971', 'P1346', 'P710'])"
Q24925,"dict_keys(['part of', 'depicts', 'has use', 'field of this occupation', 'subclass of', 'instance of', 'genre', 'field of work', 'movement', ""category's main topic"", 'inspired by', 'main subject', 'category combines topics', 'facet of', ""Wikimedia portal's main topic"", 'influenced by', 'interested in', 'item for this sense', 'partially coincident with', 'used by', 'Wikidata property example', 'different from', 'field of usage', 'is metaclass for', 'followed by'])","dict_values(['P361', 'P180', 'P366', 'P425', 'P279', 'P31', 'P136', 'P101', 'P135', 'P301', 'P941', 'P921', 'P971', 'P1269', 'P1204', 'P737', 'P2650', 'P5137', 'P1382', 'P1535', 'P1855', 'P1889', 'P9488', 'P8225', 'P156'])"
Q269054,"dict_keys(['follows', 'part of', 'followed by'])","dict_values(['P155', 'P361', 'P156'])"
Q3203423,dict_keys([]),dict_values([])
Q2018550,dict_keys([]),dict_values([])
Q5541543,dict_keys(['cast member']),dict_values(['P161'])
Q1355594,dict_keys(['has part(s)']),dict_values(['P527'])
Q497827,"dict_keys(['father', 'spouse', 'child', 'founded by', 'named after', 'sibling'])","dict_values(['P22', 'P26', 'P40', 'P112', 'P138', 'P3373'])"
Q1327449,"dict_keys(['based on', 'follows', 'Wikidata property example'])","dict_values(['P144', 'P155', 'P1855'])"
Q935191,"dict_keys(['place of birth', 'place of death', 'shares border with', 'located in the administrative territorial entity', 'headquarters location', ""category's main topic"", 'place served by transport hub', 'licensed to broadcast to'])","dict_values(['P19', 'P20', 'P47', 'P131', 'P159', 'P301', 'P931', 'P1408'])"
Q1393342,dict_keys(['main subject']),dict_values(['P921'])
Q193023,"dict_keys(['record label', 'parent organization', 'distributed by', 'production company', 'employer', 'genre', ""category's main topic"", 'business division', 'category combines topics', 'developer'])","dict_values(['P264', 'P749', 'P750', 'P272', 'P108', 'P136', 'P301', 'P199', 'P971', 'P178'])"
Q2884090,dict_keys(['different from']),dict_values(['P1889'])
Q3612233,dict_keys([]),dict_values([])
Q203059,"dict_keys(['record label', 'has subsidiary', 'distributed by', 'operator', 'parent organization', 'employer', 'category combines topics', 'different from', ""category's main topic"", 'founded by'])","dict_values(['P264', 'P355', 'P750', 'P137', 'P749', 'P108', 'P971', 'P1889', 'P301', 'P112'])"
Q2849156,"dict_keys(['has part(s)', 'participant'])","dict_values(['P527', 'P710'])"
Q7044536,dict_keys([]),dict_values([])
['Q5967378'],error,error
Q2981727,dict_keys([]),dict_values([])
['Q1532151'],error,error
Q2074891,"dict_keys(['place of birth', 'capital', 'located in the administrative territorial entity', 'location', 'place of publication', 'terminus location', 'licensed to broadcast to'])","dict_values(['P19', 'P36', 'P131', 'P276', 'P291', 'P609', 'P1408'])"
Q1125255,"dict_keys(['based on', 'edition or translation of', 'different from', 'present in work'])","dict_values(['P144', 'P629', 'P1889', 'P1441'])"
Q5506836,dict_keys([]),dict_values([])
['Q720435'],error,error
Q19842222,dict_keys([]),dict_values([])
Q188473,"dict_keys(['instance of', 'occupation', 'is a list of', 'genre', 'movement', 'subclass of', 'main subject', 'category combines topics', ""category's main topic"", 'item for this sense'])","dict_values(['P31', 'P106', 'P360', 'P136', 'P135', 'P279', 'P921', 'P971', 'P301', 'P5137'])"
Q978051,"dict_keys(['director', 'screenwriter'])","dict_values(['P57', 'P58'])"
Q133163,"dict_keys(['item for this sense', 'subclass of', 'instance of', 'part of', 'occupation', 'instrumentation', 'instrument', 'main subject', 'product or material produced', 'field of work', 'genre', 'has part(s)', 'uses', ""category's main topic""])","dict_values(['P5137', 'P279', 'P31', 'P361', 'P106', 'P870', 'P1303', 'P921', 'P1056', 'P101', 'P136', 'P527', 'P2283', 'P301'])"
Q326383,"dict_keys(['composer', 'cast member', 'named after', 'performer', 'contributor to the creative work or subject', 'has part(s)', 'lyrics by', 'partner in business or sport'])","dict_values(['P86', 'P161', 'P138', 'P175', 'P767', 'P527', 'P676', 'P1327'])"
Q1044269,dict_keys(['participant']),dict_values(['P710'])
Q5220582,dict_keys([]),dict_values([])
Q543544,dict_keys([]),dict_values([])
Q1186921,"dict_keys(['occupation', 'position held', 'practiced by', 'subclass of', 'category contains', 'category combines topics', ""category's main topic""])","dict_values(['P106', 'P39', 'P3095', 'P279', 'P4224', 'P971', 'P301'])"
Q25989,"dict_keys(['located in time zone', 'main subject', 'said to be the same as'])","dict_values(['P421', 'P921', 'P460'])"
Q7824212,dict_keys([]),dict_values([])
Q601772,dict_keys([]),dict_values([])
Q6204029,dict_keys([]),dict_values([])
Q965826,"dict_keys(['director', 'screenwriter', 'cast member', 'producer', 'executive producer', 'category combines topics'])","dict_values(['P57', 'P58', 'P161', 'P162', 'P1431', 'P971'])"
Q3161167,"dict_keys(['spouse', 'author', ""category's main topic""])","dict_values(['P26', 'P50', 'P301'])"
Q678521,"dict_keys(['performer', 'category combines topics', 'different from'])","dict_values(['P175', 'P971', 'P1889'])"
Q212109,"dict_keys(['spouse', 'father', 'child', 'named after', 'partner in business or sport', 'sibling', 'depicts', 'has part(s)', 'characters', 'main subject'])","dict_values(['P26', 'P22', 'P40', 'P138', 'P1327', 'P3373', 'P180', 'P527', 'P674', 'P921'])"
Q708085,"dict_keys(['director', 'cast member', 'screenwriter', 'director / manager'])","dict_values(['P57', 'P161', 'P58', 'P1037'])"
Q299648,"dict_keys(['composer', 'child', 'performer', 'has part(s)', 'sibling'])","dict_values(['P86', 'P40', 'P175', 'P527', 'P3373'])"
['Q2893349'],error,error
Q645928,"dict_keys(['item for this sense', 'genre', 'instance of', 'subclass of', ""category's main topic"", 'is a list of', 'main subject', 'category combines topics'])","dict_values(['P5137', 'P136', 'P31', 'P279', 'P301', 'P360', 'P921', 'P971'])"
Q11013326,dict_keys([]),dict_values([])
Q4860277,dict_keys([]),dict_values([])
Q1602021,"dict_keys(['child', 'relative'])","dict_values(['P40', 'P1038'])"
Q9696615,dict_keys([]),dict_values([])
Q982140,dict_keys([]),dict_values([])
Q271764,"dict_keys(['named after', 'based on', 'notable work', ""category's main topic"", 'present in work'])","dict_values(['P138', 'P144', 'P800', 'P301', 'P1441'])"
Q5423257,"dict_keys(['performer', ""category's main topic"", 'dedicated to'])","dict_values(['P175', 'P301', 'P825'])"
Q874929,dict_keys([]),dict_values([])
Q200092,"dict_keys(['has part(s)', 'instance of', 'is a list of', 'industry', 'genre', 'subclass of', ""category's main topic"", 'model item', ""topic's main category"", 'main subject', 'category combines topics', 'facet of', 'item for this sense', 'template has topic', 'category contains', 'references work, tradition or theory'])","dict_values(['P527', 'P31', 'P360', 'P452', 'P136', 'P279', 'P301', 'P5869', 'P910', 'P921', 'P971', 'P1269', 'P5137', 'P1423', 'P4224', 'P8371'])"
Q14951046,dict_keys([]),dict_values([])
Q19483,"dict_keys(['place of birth', 'located in the administrative territorial entity', 'shares border with', 'headquarters location', 'depicts', 'location', ""category's main topic"", 'located in/on physical feature', 'narrative location', 'applies to jurisdiction', 'different from'])","dict_values(['P19', 'P131', 'P47', 'P159', 'P180', 'P276', 'P301', 'P706', 'P840', 'P1001', 'P1889'])"
Q2061070,dict_keys(['different from']),dict_values(['P1889'])
Q941429,"dict_keys(['followed by', 'follows'])","dict_values(['P156', 'P155'])"
Q15953258,dict_keys(['cast member']),dict_values(['P161'])
Q7065883,dict_keys([]),dict_values([])
Q6427156,dict_keys([]),dict_values([])
Q1332738,"dict_keys(['director', 'screenwriter'])","dict_values(['P57', 'P58'])"
Q7579969,dict_keys([]),dict_values([])
Q918367,dict_keys([]),dict_values([])
Q240,"dict_keys(['item for this sense', 'demonym of', 'location of sense usage', 'shares border with', 'place of birth', 'twinned administrative body', 'contains the administrative territorial entity', 'part of', 'has part(s)', 'residence', 'applies to jurisdiction', 'capital of', 'Wikidata property example', 'different from', 'indigenous to', 'place of death', 'place of burial', 'owned by', 'capital', 'located in the administrative territorial entity', 'headquarters location', 'named after', 'location', 'official residence', 'location of formation', 'place served by transport hub', 'work location', 'place of publication', 'facet of', 'location of creation', 'operating area', 'licensed to broadcast to', 'replaced by', 'depicts', 'category combines topics', 'template has topic', ""category's main topic"", ""Wikimedia portal's main topic"", 'organizer', 'main subject', 'founded by', 'place of devotion', 'commissioned by', 'conferred by'])","dict_values(['P5137', 'P6271', 'P6084', 'P47', 'P19', 'P190', 'P150', 'P361', 'P527', 'P551', 'P1001', 'P1376', 'P1855', 'P1889', 'P2341', 'P20', 'P119', 'P127', 'P36', 'P131', 'P159', 'P138', 'P276', 'P263', 'P740', 'P931', 'P937', 'P291', 'P1269', 'P1071', 'P2541', 'P1408', 'P1366', 'P180', 'P971', 'P1423', 'P301', 'P1204', 'P664', 'P921', 'P112', 'P5873', 'P88', 'P1027'])"
Q1194869,dict_keys(['follows']),dict_values(['P155'])
Q88545,dict_keys(['different from']),dict_values(['P1889'])
Q4535654,dict_keys([]),dict_values([])
Q9129720,dict_keys([]),dict_values([])
Q6890800,dict_keys([]),dict_values([])
Q905949,"dict_keys(['author', 'named after', 'doctoral advisor', 'main subject', 'student of', ""category's main topic"", 'sibling'])","dict_values(['P50', 'P138', 'P184', 'P921', 'P1066', 'P301', 'P3373'])"
Q362,"dict_keys(['is a list of', 'part of', 'commemorates', 'main subject', 'place of death', 'instance of', 'destroyed', 'damaged', 'field of work', 'educated at', 'genre', 'occupation', 'named after', 'operator', 'followed by', 'follows', 'depicts', 'subclass of', 'military branch', ""category's main topic"", 'cause of destruction', 'has use', 'influenced by', 'significant event', 'has part(s)', 'cause of death', 'dedicated to', 'has cause', 'narrative location', 'participant', 'conflict', 'history of topic', 'time period', 'inscription mentions', 'significant place', 'set in period', 'permanent duplicated item', 'inspired by', 'category combines topics', 'valid in period', ""Wikimedia portal's main topic"", 'product or material produced', 'facet of', 'participant in', 'has effect', 'template has topic', 'end cause', 'Wikidata property example', 'described by source'])","dict_values(['P360', 'P361', 'P547', 'P921', 'P20', 'P31', 'P3082', 'P3081', 'P101', 'P69', 'P136', 'P106', 'P138', 'P137', 'P156', 'P155', 'P180', 'P279', 'P241', 'P301', 'P770', 'P366', 'P737', 'P793', 'P527', 'P509', 'P825', 'P828', 'P840', 'P710', 'P607', 'P2184', 'P2348', 'P6568', 'P7153', 'P2408', 'P2959', 'P941', 'P971', 'P1264', 'P1204', 'P1056', 'P1269', 'P1344', 'P1542', 'P1423', 'P1534', 'P1855', 'P1343'])"
Q7227938,"dict_keys(['located in the administrative territorial entity', 'shares border with', ""category's main topic""])","dict_values(['P131', 'P47', 'P301'])"
Q7727051,dict_keys(['based on']),dict_values(['P144'])
Q16950008,dict_keys([]),dict_values([])
Q4886782,dict_keys([]),dict_values([])
Q182015,"dict_keys(['item for this sense', 'genre', 'subclass of', 'interested in', 'is metaclass for', 'field of work', 'main subject', 'product or material produced', 'collection', ""category's main topic""])","dict_values(['P5137', 'P136', 'P279', 'P2650', 'P8225', 'P101', 'P921', 'P1056', 'P195', 'P301'])"
Q7235968,dict_keys([]),dict_values([])
Q1682136,dict_keys(['cast member']),dict_values(['P161'])
Q2930439,dict_keys(['lyrics by']),dict_values(['P676'])
Q1255514,dict_keys([]),dict_values([])
Q16296,"dict_keys(['director', 'owned by', 'spouse', 'father', 'cast member', 'performer', 'producer', 'main subject', 'voice actor', 'adapted by', 'depicted by', 'winner', 'narrator', 'characters'])","dict_values(['P57', 'P127', 'P26', 'P22', 'P161', 'P175', 'P162', 'P921', 'P725', 'P5202', 'P1299', 'P1346', 'P2438', 'P674'])"
Q7506713,dict_keys([]),dict_values([])
Q935090,"dict_keys(['record label', 'owned by', 'owner of', 'has subsidiary', 'employer', 'different from', 'publisher', 'business division', 'distributed by', 'category combines topics', ""category's main topic""])","dict_values(['P264', 'P127', 'P1830', 'P355', 'P108', 'P1889', 'P123', 'P199', 'P750', 'P971', 'P301'])"
Q7965347,dict_keys([]),dict_values([])
Q37073,"dict_keys(['part of', 'has part(s)', 'field of work', 'radio format', 'field of this occupation', 'opposite of', 'said to be the same as', 'genre', 'member of', 'subclass of', 'occupation', 'movement', 'influenced by', 'main subject', 'category combines topics', 'inspired by', 'facet of', 'template has topic', 'different from', 'instrument', 'interested in', ""category's main topic"", 'item for this sense', 'based on'])","dict_values(['P361', 'P527', 'P101', 'P415', 'P425', 'P461', 'P460', 'P136', 'P463', 'P279', 'P106', 'P135', 'P737', 'P921', 'P971', 'P941', 'P1269', 'P1423', 'P1889', 'P1303', 'P2650', 'P301', 'P5137', 'P144'])"
Q4796865,dict_keys([]),dict_values([])
Q5982256,dict_keys([]),dict_values([])
Q3847337,"dict_keys(['cast member', 'producer', 'sibling'])","dict_values(['P161', 'P162', 'P3373'])"
Q981419,"dict_keys(['author', 'discoverer or inventor', 'influenced by', 'named after', 'main subject', 'student of'])","dict_values(['P50', 'P61', 'P737', 'P138', 'P921', 'P1066'])"
Q336286,"dict_keys(['position played on team / speciality', 'subclass of', ""category's main topic"", 'position held', 'composer', 'occupation', 'category combines topics', 'fictional analog of', 'different from', 'item for this sense', 'subject has role', 'opposite of'])","dict_values(['P413', 'P279', 'P301', 'P39', 'P86', 'P106', 'P971', 'P1074', 'P1889', 'P5137', 'P2868', 'P461'])"
Q7822720,dict_keys([]),dict_values([])
Q220,"dict_keys(['place of birth', 'depicts', 'location of discovery', 'twinned administrative body', 'residence', 'location', 'location of formation', 'place of publication', 'official residence', 'operating area', ""category's main topic"", 'indigenous to', 'culture', 'permanent duplicated item', 'domain of saint or deity', 'cites work', 'place of detention', 'part of', 'participant', 'organizer', 'mother house', 'terminus', 'located in time zone', 'terminus location', 'exhibition history', 'commander of (DEPRECATED)', 'enclave within', 'country of origin', 'has part(s)', 'commemorates', 'item for this sense', 'narrative location', 'location of first performance', 'located in the present-day administrative territorial entity', 'model item', 'place of devotion', 'demonym of', 'significant place', 'work location', 'filming location', 'main subject', 'place served by transport hub', 'category combines topics', 'applies to jurisdiction', 'location of creation', 'place of death', ""Wikimedia portal's main topic"", 'facet of', 'primary destinations', 'winner', 'start point', 'published in', 'destination point', 'Wikidata property example', 'different from', 'located in the administrative territorial entity', 'capital', 'country of citizenship', 'shares border with', 'ancestral home', 'educated at', 'airline hub', 'commissioned by', 'field of work', 'employer', 'place of burial', 'owned by', 'maintained by', 'named after', 'headquarters location', 'contains the administrative territorial entity', 'producer'])","dict_values(['P19', 'P180', 'P189', 'P190', 'P551', 'P276', 'P740', 'P291', 'P263', 'P2541', 'P301', 'P2341', 'P2596', 'P2959', 'P2925', 'P2860', 'P2632', 'P361', 'P710', 'P664', 'P612', 'P559', 'P421', 'P609', 'P608', 'P598', 'P501', 'P495', 'P527', 'P547', 'P5137', 'P840', 'P4647', 'P3842', 'P5869', 'P5873', 'P6271', 'P7153', 'P937', 'P915', 'P921', 'P931', 'P971', 'P1001', 'P1071', 'P20', 'P1204', 'P1269', 'P1302', 'P1346', 'P1427', 'P1433', 'P1444', 'P1855', 'P1889', 'P131', 'P36', 'P27', 'P47', 'P66', 'P69', 'P113', 'P88', 'P101', 'P108', 'P119', 'P127', 'P126', 'P138', 'P159', 'P150', 'P162'])"
Q192887,"dict_keys(['mother', 'spouse', 'cast member', 'performer'])","dict_values(['P25', 'P26', 'P161', 'P175'])"
Q289,"dict_keys(['item for this sense', 'distribution format', 'field of work', 'industry', 'instance of', 'genre', 'product or material produced', 'named after', 'subclass of', ""category's main topic"", 'has use', 'field of this occupation', 'part of', 'category combines topics', 'main subject', 'is a list of', 'facet of', 'has facility', 'depicts', ""Wikimedia portal's main topic"", 'has part(s)', 'domain of saint or deity', 'permanent duplicated item', 'occupation', 'employer', 'has part(s) of the class', 'uses', 'interested in', 'movement', 'partially coincident with', 'platform'])","dict_values(['P5137', 'P437', 'P101', 'P452', 'P31', 'P136', 'P1056', 'P138', 'P279', 'P301', 'P366', 'P425', 'P361', 'P971', 'P921', 'P360', 'P1269', 'P912', 'P180', 'P1204', 'P527', 'P2925', 'P2959', 'P106', 'P108', 'P2670', 'P2283', 'P2650', 'P135', 'P1382', 'P400'])"
Q1074268,dict_keys(['founded by']),dict_values(['P112'])
Q6817807,dict_keys([]),dict_values([])
Q1390066,dict_keys([]),dict_values([])
Q7246065,dict_keys([]),dict_values([])
Q310903,"dict_keys(['talk show guest', 'child', 'spouse', 'author', 'cast member', 'named after', 'doctoral student', 'performer', 'presenter', ""category's main topic"", 'voice actor', 'influenced by', 'student', 'category combines topics', 'board member', 'sibling', 'named by'])","dict_values(['P5030', 'P40', 'P26', 'P50', 'P161', 'P138', 'P185', 'P175', 'P371', 'P301', 'P725', 'P737', 'P802', 'P971', 'P3320', 'P3373', 'P3938'])"
Q6785404,"dict_keys(['part of', 'follows', 'followed by'])","dict_values(['P361', 'P155', 'P156'])"
Q4393593,"dict_keys(['member of political party', 'category combines topics'])","dict_values(['P102', 'P971'])"
Q1297,"dict_keys(['place of birth', 'residence', 'narrative location', 'location of formation', 'home port', 'port of registry', 'depicts', 'twinned administrative body', 'place of publication', 'location', 'collection', 'recorded at studio or venue', 'part of', 'family name', 'terminus location', 'operating area', 'indigenous to', 'filming location', 'main subject', 'work location', 'place served by transport hub', 'applies to jurisdiction', ""category's main topic"", 'location of creation', 'facet of', ""Wikimedia portal's main topic"", 'licensed to broadcast to', 'item for this sense', 'location of first performance', 'category combines topics', 'inspired by', 'exhibition history', 'terminus', 'start point', 'recording location', 'different from', 'significant place', 'destination point', 'published in', 'distributed from', 'place of death', 'located in the administrative territorial entity', 'headquarters location', 'capital', 'shares border with', 'country of citizenship', 'educated at', 'place of burial', 'employer', 'field of work', 'maintained by', 'owned by', 'operator', 'named after', 'contains the administrative territorial entity', 'followed by', 'performer'])","dict_values(['P19', 'P551', 'P840', 'P740', 'P504', 'P532', 'P180', 'P190', 'P291', 'P276', 'P195', 'P483', 'P361', 'P734', 'P609', 'P2541', 'P2341', 'P915', 'P921', 'P937', 'P931', 'P1001', 'P301', 'P1071', 'P1269', 'P1204', 'P1408', 'P5137', 'P4647', 'P971', 'P941', 'P608', 'P559', 'P1427', 'P8546', 'P1889', 'P7153', 'P1444', 'P1433', 'P10754', 'P20', 'P131', 'P159', 'P36', 'P47', 'P27', 'P69', 'P119', 'P108', 'P101', 'P126', 'P127', 'P137', 'P138', 'P150', 'P156', 'P175'])"
Q3428581,dict_keys([]),dict_values([])
Q7557267,dict_keys(['followed by']),dict_values(['P156'])
Q247785,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q623038,"dict_keys(['spouse', 'performer', 'producer', 'lyrics by', 'category combines topics'])","dict_values(['P26', 'P175', 'P162', 'P676', 'P971'])"
Q1571727,dict_keys([]),dict_values([])
Q349104,dict_keys([]),dict_values([])
Q7787211,dict_keys(['main subject']),dict_values(['P921'])
Q2624125,"dict_keys(['followed by', 'follows'])","dict_values(['P156', 'P155'])"
Q10381445,"dict_keys(['present in work', 'follows', 'derivative work'])","dict_values(['P1441', 'P155', 'P4969'])"
Q7419370,dict_keys([]),dict_values([])
Q19842222,dict_keys([]),dict_values([])
Q263734,"dict_keys(['genre', 'different from', ""category's main topic"", 'subclass of'])","dict_values(['P136', 'P1889', 'P301', 'P279'])"
Q936303,dict_keys(['father']),dict_values(['P22'])
Q5628787,dict_keys([]),dict_values([])
Q49179,"dict_keys(['item for this sense', 'place of birth', 'place of death', 'capital', 'shares border with', 'located in the administrative territorial entity', 'contains the administrative territorial entity', 'residence', 'named after', 'twinned administrative body', 'location of formation', 'work location', 'place of burial', 'owned by', 'headquarters location', 'category combines topics', 'place of publication', 'location', ""category's main topic"", 'terminus', 'facet of', 'licensed to broadcast to', 'start point', 'main subject', 'depicts', 'has part(s)', 'applies to jurisdiction'])","dict_values(['P5137', 'P19', 'P20', 'P36', 'P47', 'P131', 'P150', 'P551', 'P138', 'P190', 'P740', 'P937', 'P119', 'P127', 'P159', 'P971', 'P291', 'P276', 'P301', 'P559', 'P1269', 'P1408', 'P1427', 'P921', 'P180', 'P527', 'P1001'])"
Q113715,"dict_keys(['spouse', 'doctoral advisor', 'doctoral student'])","dict_values(['P26', 'P184', 'P185'])"
Q7674216,dict_keys([]),dict_values([])
Q1634476,dict_keys([]),dict_values([])
Q273175,"dict_keys(['depicts', 'student', 'main subject', 'sibling'])","dict_values(['P180', 'P802', 'P921', 'P3373'])"
Q5943665,"dict_keys(['child', 'sibling'])","dict_values(['P40', 'P3373'])"
Q12711487,dict_keys(['part of the series']),dict_values(['P179'])
Q10532967,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q2169282,"dict_keys(['place of birth', 'place of death', 'educated at', 'employer', 'has subsidiary', 'affiliation', 'location'])","dict_values(['P19', 'P20', 'P69', 'P108', 'P355', 'P1416', 'P276'])"
Q126399,"dict_keys(['employer', 'owned by', 'record label', 'production company', 'producer', 'founded by', 'has subsidiary', 'parent organization', 'distributed by', 'Wikidata property example', 'owner of', 'creator', 'operator', ""category's main topic"", 'category combines topics', 'named after', 'copyright holder', 'discoverer or inventor', 'publisher', 'distribution format', 'said to be the same as', 'represents', 'main subject', 'winner', 'template has topic', 'occupant', 'participant', 'plaintiff', 'organization directed by the office or position', 'has part(s)', 'filming location', 'location', 'followed by'])","dict_values(['P108', 'P127', 'P264', 'P272', 'P162', 'P112', 'P355', 'P749', 'P750', 'P1855', 'P1830', 'P170', 'P137', 'P301', 'P971', 'P138', 'P3931', 'P61', 'P123', 'P437', 'P460', 'P1268', 'P921', 'P1346', 'P1423', 'P466', 'P710', 'P1620', 'P2389', 'P527', 'P915', 'P276', 'P156'])"
Q6795706,"dict_keys(['architect', 'creator'])","dict_values(['P84', 'P170'])"
Q5538404,dict_keys([]),dict_values([])
Q4353505,"dict_keys(['cast member', 'spouse', 'creator'])","dict_values(['P161', 'P26', 'P170'])"
Q921499,"dict_keys(['author', 'father', 'doctoral advisor', 'doctoral student'])","dict_values(['P50', 'P22', 'P184', 'P185'])"
Q206159,"dict_keys(['genre', 'field of work', 'influenced by', 'subclass of', 'category combines topics', ""category's main topic""])","dict_values(['P136', 'P101', 'P737', 'P279', 'P971', 'P301'])"
Q4853277,dict_keys([]),dict_values([])
Q753110,"dict_keys(['occupation', 'country of citizenship', 'position held', 'instance of', 'field of work', 'subclass of', 'main subject', 'said to be the same as', ""category's main topic"", 'category combines topics', 'has part(s) of the class', 'instrument', 'used by', 'item for this sense', 'members have occupation', 'practiced by', 'eligible recipient', 'employer', 'genre'])","dict_values(['P106', 'P27', 'P39', 'P31', 'P101', 'P279', 'P921', 'P460', 'P301', 'P971', 'P2670', 'P1303', 'P1535', 'P5137', 'P3989', 'P3095', 'P8115', 'P108', 'P136'])"
Q902286,"dict_keys(['cast member', 'sibling', 'child'])","dict_values(['P161', 'P3373', 'P40'])"
Q7424135,dict_keys([]),dict_values([])
Q16016567,dict_keys([]),dict_values([])
Q837837,"dict_keys(['genre', ""category's main topic"", 'main subject'])","dict_values(['P136', 'P301', 'P921'])"
['Q794'],error,error
Q3875171,dict_keys([]),dict_values([])
Q7044529,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q11184222,dict_keys([]),dict_values([])
Q809565,dict_keys(['different from']),dict_values(['P1889'])
Q1557352,dict_keys([]),dict_values([])
Q1207229,dict_keys([]),dict_values([])
Q6831954,dict_keys([]),dict_values([])
Q1501369,dict_keys(['producer']),dict_values(['P162'])
Q1755729,"dict_keys(['followed by', 'soundtrack release'])","dict_values(['P156', 'P406'])"
Q208850,"dict_keys(['game mode', 'genre', ""category's main topic"", 'game mechanics', 'item for this sense', 'does not have part', 'input method', 'opposite of'])","dict_values(['P404', 'P136', 'P301', 'P4151', 'P5137', 'P3113', 'P479', 'P461'])"
Q18098515,dict_keys([]),dict_values([])
Q130232,"dict_keys(['instance of', 'genre', 'field of work', 'composer', 'subclass of', 'main subject', 'category combines topics', ""category's main topic"", 'facet of', 'different from'])","dict_values(['P31', 'P136', 'P101', 'P86', 'P279', 'P921', 'P971', 'P301', 'P1269', 'P1889'])"
