qid,target_relation,questions,relation_id,relation_labels
Q5274041,P175,who is the artist for the album did i shave my legs for this?,"dict_keys(['follows', 'part of'])","dict_values(['P155', 'P361'])"
Q120367,P58,who wrote shark tale,"dict_keys(['follows', 'notable work', ""category's main topic"", 'present in work', 'first appearance'])","dict_values(['P155', 'P800', 'P301', 'P1441', 'P4584'])"
Q7196373,P19,Which country was pino amenta born in,"dict_keys(['director', 'creator'])","dict_values(['P57', 'P170'])"
Q5256292,P136,What is the genre of the album demons fall for an angels kiss,dict_keys(['follows']),dict_values(['P155'])
Q4543068,P397,The orbital relationship of which star is (32982) 1996 vd38?,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q3427123,P20,where in france did  renée carl die,dict_keys(['cast member']),dict_values(['P161'])
Q8355,P1303,Who is a famous violin player,"dict_keys(['depicts', 'part of', 'has part(s)', 'field of work', 'occupation', 'instance of', 'named after', 'subclass of', ""category's main topic"", 'record label', 'made from material', 'instrumentation', 'academic major', 'has cause', 'instrument', 'main subject', 'uses', 'product or material produced', 'carries scientific instrument', 'facet of', 'fictional analog of', 'category combines topics', 'item for this sense', 'interested in', 'has part(s) of the class', 'contains', 'different from'])","dict_values(['P180', 'P361', 'P527', 'P101', 'P106', 'P31', 'P138', 'P279', 'P301', 'P264', 'P186', 'P870', 'P812', 'P828', 'P1303', 'P921', 'P2283', 'P1056', 'P1202', 'P1269', 'P1074', 'P971', 'P5137', 'P2650', 'P2670', 'P4330', 'P1889'])"
Q280658,P413,who plays the forward position in football,"dict_keys(['position played on team / speciality', 'position held', 'located in the administrative territorial entity', 'fictional analog of', 'subclass of', ""category's main topic"", 'item for this sense', 'opposite of'])","dict_values(['P413', 'P39', 'P131', 'P1074', 'P279', 'P301', 'P5137', 'P461'])"
Q6785030,P495,what country was the film master harold...and the boys done in,dict_keys([]),dict_values([])
Q21,P19,Who is a known person from england,"dict_keys(['place of birth', 'organizer', 'located in/on physical feature', 'country of origin', 'participant', 'narrative location', 'is a list of', 'part of', 'influenced by', 'location of formation', 'approved by', 'recorded at studio or venue', 'depicts', 'location of discovery', 'basin country', 'location', 'place of publication', ""category's main topic"", 'indigenous to', 'operating area', 'demonym of', 'inscription mentions', 'type locality (biology)', 'item for this sense', 'culture', 'permanent duplicated item', 'type locality (geology)', 'place of death', 'filming location', 'allegiance', 'category combines topics', 'main subject', 'country of registry', 'recording location', 'has part(s)', 'diplomatic relation', 'residence', 'location of first performance', 'work location', 'country of citizenship', 'applies to jurisdiction', 'ancestral home', 'shares border with', 'site of astronomical discovery', 'place of burial', 'founded by', 'located in the administrative territorial entity', 'owned by', 'location of creation', 'named after', 'operator', 'genre', 'contains the administrative territorial entity', 'headquarters location', 'ethnic group', 'manufacturer', 'fictional analog of', 'country for sport', 'facet of', ""Wikimedia portal's main topic"", 'winner', 'capital of', 'start point', 'published in', 'destination point', 'Wikidata property example', 'different from'])","dict_values(['P19', 'P664', 'P706', 'P495', 'P710', 'P840', 'P360', 'P361', 'P737', 'P740', 'P790', 'P483', 'P180', 'P189', 'P205', 'P276', 'P291', 'P301', 'P2341', 'P2541', 'P6271', 'P6568', 'P5304', 'P5137', 'P2596', 'P2959', 'P2695', 'P20', 'P915', 'P945', 'P971', 'P921', 'P8047', 'P8546', 'P527', 'P530', 'P551', 'P4647', 'P937', 'P27', 'P1001', 'P66', 'P47', 'P65', 'P119', 'P112', 'P131', 'P127', 'P1071', 'P138', 'P137', 'P136', 'P150', 'P159', 'P172', 'P176', 'P1074', 'P1532', 'P1269', 'P1204', 'P1346', 'P1376', 'P1427', 'P1433', 'P1444', 'P1855', 'P1889'])"
Q339093,P264,what label is bebe winans signed to,"dict_keys(['performer', 'has part(s)', 'participant', 'sibling'])","dict_values(['P175', 'P527', 'P710', 'P3373'])"
Q684216,P136,what genre is lassie come home,"dict_keys(['named after', 'different from', 'derivative work'])","dict_values(['P138', 'P1889', 'P4969'])"
Q6681672,P27,What is Lorraine Pearson's nationality?,"dict_keys(['child', 'sibling', 'has part(s)'])","dict_values(['P40', 'P3373', 'P527'])"
Q111772,P495,what country produced the film who saw her die?,dict_keys([]),dict_values([])
Q1810016,P136,what style of music does joe henry play in?,"dict_keys(['composer', 'father', 'producer', 'spouse', 'performer', 'category combines topics'])","dict_values(['P86', 'P22', 'P162', 'P26', 'P175', 'P971'])"
Q24170,P404,what kinds of gameplay is required of doki! doki! yūenchi: crazy land daisakusen,dict_keys([]),dict_values([])
Q1338522,P136,what kind of music is on woodstock?,dict_keys(['follows']),dict_values(['P155'])
Q648299,P144,What is slaughterhouse-five adapted from,"dict_keys(['derivative work', 'notable work'])","dict_values(['P4969', 'P800'])"
Q160341,P40,name the child of edward iv of england,"dict_keys(['father', 'employer', 'founded by', 'depicts', 'spouse', 'child', ""category's main topic"", 'characters', 'sponsor', 'main subject', 'participant', 'unmarried partner', 'sibling', 'inspired by', 'officeholder'])","dict_values(['P22', 'P108', 'P112', 'P180', 'P26', 'P40', 'P301', 'P674', 'P859', 'P921', 'P710', 'P451', 'P3373', 'P941', 'P1308'])"
Q5310326,P27,Which country was duane elgin born in,dict_keys([]),dict_values([])
Q222052,P413,which player plays center position on a basketball team,"dict_keys(['position played on team / speciality', 'different from', 'item for this sense', ""category's main topic""])","dict_values(['P413', 'P1889', 'P5137', 'P301'])"
Q141491,P31,What is 1617 alschmitt?,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q7613348,P175,which artist recorded the album steve mcqueen,dict_keys(['follows']),dict_values(['P155'])
Q4819492,P149,What type of architecture is the auckland art gallery,"dict_keys(['collection', 'location', 'employer', 'organizer', 'issued by', 'publisher', 'maintained by', 'owned by', 'different from', 'conferred by', 'parent organization', 'Wikidata item of this property', 'has works in the collection', 'occupant', 'archives at', ""category's main topic"", 'has subsidiary'])","dict_values(['P195', 'P276', 'P108', 'P664', 'P2378', 'P123', 'P126', 'P127', 'P1889', 'P1027', 'P749', 'P1629', 'P6379', 'P466', 'P485', 'P301', 'P355'])"
Q7831842,P413,what position does tracy scroggins play in football,dict_keys([]),dict_values([])
Q8253,P136,What is a novel within the literary genre fiction?,"dict_keys(['item for this sense', 'instance of', 'field of work', 'genre', 'movement', 'named after', 'subclass of', ""category's main topic"", 'opposite of', 'influenced by', 'is a list of', 'main subject', ""topic's main category"", 'facet of', 'different from', 'category combines topics', 'interested in', 'has part(s) of the class', 'category contains', 'has quality', 'occupation', 'is metaclass for', 'part of', 'manifestation of', 'has part(s)', 'form of creative work'])","dict_values(['P5137', 'P31', 'P101', 'P136', 'P135', 'P138', 'P279', 'P301', 'P461', 'P737', 'P360', 'P921', 'P910', 'P1269', 'P1889', 'P971', 'P2650', 'P2670', 'P4224', 'P1552', 'P106', 'P8225', 'P361', 'P1557', 'P527', 'P7937'])"
Q605957,P136,What type of TV program is asias next top model considered,"dict_keys(['part of the series', ""category's main topic""])","dict_values(['P179', 'P301'])"
Q49085,P172,who is someone that is african american,"dict_keys(['part of', 'has part(s)', 'target', 'commemorates', 'ethnic group', 'country of citizenship', 'field of work', 'depicts', 'instance of', 'founded by', 'owned by', 'subclass of', ""category's main topic"", 'main subject', 'dedicated to', 'studies', 'culture', 'intended public', 'has part(s) of the class', 'item for this sense', 'category combines topics', 'heritage designation', 'different from', ""Wikimedia portal's main topic"", 'facet of'])","dict_values(['P361', 'P527', 'P533', 'P547', 'P172', 'P27', 'P101', 'P180', 'P31', 'P112', 'P127', 'P279', 'P301', 'P921', 'P825', 'P2578', 'P2596', 'P2360', 'P2670', 'P5137', 'P971', 'P1435', 'P1889', 'P1204', 'P1269'])"
Q16827644,P364,What language is blue oranges filmed in,dict_keys([]),dict_values([])
Q213749,P20,Where did huascar die,"dict_keys(['father', 'spouse', 'head of state', 'child', 'sibling', 'different from'])","dict_values(['P22', 'P26', 'P35', 'P40', 'P3373', 'P1889'])"
Q130232,P136,What is the name of a drama film,"dict_keys(['subclass of', 'genre', 'instance of', ""category's main topic"", 'field of work', 'composer', 'category combines topics', 'main subject', 'facet of', 'different from'])","dict_values(['P279', 'P136', 'P31', 'P301', 'P101', 'P86', 'P971', 'P921', 'P1269', 'P1889'])"
Q6768820,P27,where is mark mckeever from?,dict_keys([]),dict_values([])
Q884371,P264,what musical company does promote blindside,"dict_keys(['performer', ""category's main topic""])","dict_values(['P175', 'P301'])"
Q1520030,P162,Who produced the film the wheeler dealers?,dict_keys([]),dict_values([])
Q316802,P58,james clavell is in the film credits for what movie,"dict_keys(['author', 'director', 'screenwriter', 'producer', 'creator', 'category combines topics', ""category's main topic""])","dict_values(['P50', 'P57', 'P58', 'P162', 'P170', 'P971', 'P301'])"
Q918363,P144,where was cabaret adopted from,"dict_keys(['follows', 'present in work', 'notable work', 'Wikidata property example', 'different from'])","dict_values(['P155', 'P1441', 'P800', 'P1855', 'P1889'])"
Q158438,P31,what bridge used arch bridge style,"dict_keys(['instance of', 'subclass of', 'is a list of', 'has part(s)', 'category combines topics', 'category contains', 'named after', ""category's main topic"", 'depicts'])","dict_values(['P31', 'P279', 'P360', 'P527', 'P971', 'P4224', 'P138', 'P301', 'P180'])"
Q2929221,P21,what is the fictional character waspinators gender,dict_keys([]),dict_values([])
Q3201856,P136,what kind of film is arthur rubinstein – the love of life?,dict_keys([]),dict_values([])
Q4923985,P136,What type of rock does blaine thurier perform,"dict_keys(['director', 'category combines topics'])","dict_values(['P57', 'P971'])"
Q1196429,P404,what is a gameplay mode featured on elite beat agents,"dict_keys(['has part(s)', 'influenced by'])","dict_values(['P527', 'P737'])"
Q7540543,P264,who is the music label of slik toxik?,"dict_keys(['performer', 'winner'])","dict_values(['P175', 'P1346'])"
Q6787823,P136,What is the netflix genre of matrimonium,dict_keys([]),dict_values([])
Q889,P17,What province in afghanistan is Maidan Shar a part of?,"dict_keys(['depicts', 'endemic to', 'country', 'country of origin', 'location of discovery', 'basin country', 'location', 'main subject', 'participant', 'location of formation', 'narrative location', 'filming location', 'sponsor', 'Wikidata property example', 'signatory', 'debut participant', 'indigenous to', 'operating area', 'interested in', 'permanent duplicated item', 'territory overlaps', 'item for this sense', 'designated as terrorist by', 'located in the present-day administrative territorial entity', 'ratified by', 'demonym of', 'part of', 'member of', 'has part(s)', 'diplomatic relation', 'residence', 'conflict', ""category's main topic"", 'place of publication', 'work location', 'inspired by', 'category combines topics', 'applies to jurisdiction', 'location of creation', 'facet of', ""Wikimedia portal's main topic"", 'represents', 'country for sport', 'template has topic', 'destination point', 'capital of', 'place of birth', 'country of citizenship', 'place of death', 'shares border with', 'field of work', 'employer', 'owned by', 'place of burial', 'located in the administrative territorial entity', 'operator', 'genre', 'named after', 'contains the administrative territorial entity', 'headquarters location'])","dict_values(['P180', 'P183', 'P17', 'P495', 'P189', 'P205', 'P276', 'P921', 'P710', 'P740', 'P840', 'P915', 'P859', 'P1855', 'P1891', 'P2318', 'P2341', 'P2541', 'P2650', 'P2959', 'P3179', 'P5137', 'P3461', 'P3842', 'P6193', 'P6271', 'P361', 'P463', 'P527', 'P530', 'P551', 'P607', 'P301', 'P291', 'P937', 'P941', 'P971', 'P1001', 'P1071', 'P1269', 'P1204', 'P1268', 'P1532', 'P1423', 'P1444', 'P1376', 'P19', 'P27', 'P20', 'P47', 'P101', 'P108', 'P127', 'P119', 'P131', 'P137', 'P136', 'P138', 'P150', 'P159'])"
Q7761028,P364,what language is in the film the river of love,dict_keys([]),dict_values([])
Q2553745,P364,which language is used in fat albert and the cosby kids,dict_keys(['based on']),dict_values(['P144'])
Q11366,P136,What is the name of a alternative rock album,"dict_keys(['movement', 'genre', 'subclass of', ""category's main topic"", 'main subject', 'category combines topics', 'radio format'])","dict_values(['P135', 'P136', 'P279', 'P301', 'P921', 'P971', 'P415'])"
Q2553121,P136,what kinds of videogame is castlevania: legacy of darkness,dict_keys([]),dict_values([])
Q509564,P196,where is 5128 wakabayashi found,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q6000521,P495,what country produced the film  illusions,dict_keys([]),dict_values([])
Q74744,P27,what country gives elena donaldson-akhmilovskaya her nationality,dict_keys(['spouse']),dict_values(['P26'])
Q1415,P19,who was born in indiana?,"dict_keys(['country', 'part of', 'has part(s)', 'residence', 'place of birth', 'terminus location', 'participant', 'place of death', 'country of citizenship', 'shares border with', 'employer', 'place of burial', 'indigenous to', 'category combines topics', 'located in the administrative territorial entity', 'endemic to', 'twinned administrative body', 'location', 'applies to jurisdiction', 'place of publication', ""category's main topic"", 'owned by', 'location of formation', 'parent organization', 'main subject', 'narrative location', 'work location', 'filming location', 'operating area', 'territory overlaps', 'located in the present-day administrative territorial entity', 'category contains', 'item for this sense', 'demonym of', 'symbol of', ""Wikimedia portal's main topic"", 'fictional analog of', 'facet of', 'replaced by', 'template has topic', 'capital of', 'published in', 'defendant', 'plaintiff', 'named after', 'headquarters location', 'contains the administrative territorial entity', 'signatory'])","dict_values(['P17', 'P361', 'P527', 'P551', 'P19', 'P609', 'P710', 'P20', 'P27', 'P47', 'P108', 'P119', 'P2341', 'P971', 'P131', 'P183', 'P190', 'P276', 'P1001', 'P291', 'P301', 'P127', 'P740', 'P749', 'P921', 'P840', 'P937', 'P915', 'P2541', 'P3179', 'P3842', 'P4224', 'P5137', 'P6271', 'P8058', 'P1204', 'P1074', 'P1269', 'P1366', 'P1423', 'P1376', 'P1433', 'P1591', 'P1620', 'P138', 'P159', 'P150', 'P1891'])"
Q385951,P136,the film the babysitter  is categorized as what movie genre,dict_keys([]),dict_values([])
Q928209,P509,What time zone is magnolia township included in,dict_keys(['perpetrator']),dict_values(['P8031'])
Q2850467,P40,who are anna bergman's parents,"dict_keys(['child', 'cast member', 'spouse', 'mother', 'sibling'])","dict_values(['P40', 'P161', 'P26', 'P25', 'P3373'])"
Q6171483,P19,Where was jean innes born?,dict_keys([]),dict_values([])
Q272167,P136,shoegazing is a genre that classifies what album?,"dict_keys(['genre', ""category's main topic""])","dict_values(['P136', 'P301'])"
Q3602692,P364,what language is used in a reason to believe,dict_keys([]),dict_values([])
Q496566,P136,what video game genre is talesrunner?,dict_keys([]),dict_values([])
Q837837,P136,What is an album of power pop?,"dict_keys(['genre', ""category's main topic"", 'main subject'])","dict_values(['P136', 'P301', 'P921'])"
Q1365614,P264,Name an artist from emi music japan.,"dict_keys(['publisher', 'employer', 'record label', 'operator', 'developer', 'manufacturer', 'has subsidiary', 'different from', 'production company', ""category's main topic"", 'category combines topics', 'replaces', 'replaced by'])","dict_values(['P123', 'P108', 'P264', 'P137', 'P178', 'P176', 'P355', 'P1889', 'P272', 'P301', 'P971', 'P1365', 'P1366'])"
Q105527,P136,what is an album title that is jazz fusion,"dict_keys(['field of work', 'genre', 'different from', 'subclass of', 'category combines topics', 'facet of', 'movement', ""category's main topic"", 'occupation'])","dict_values(['P101', 'P136', 'P1889', 'P279', 'P971', 'P1269', 'P135', 'P301', 'P106'])"
Q23916,P136,What is the name of a Japanese adventure video game?,"dict_keys(['field of work', 'genre', 'main subject', 'subclass of', 'product or material produced', 'different from', ""category's main topic""])","dict_values(['P101', 'P136', 'P921', 'P279', 'P1056', 'P1889', 'P301'])"
Q158252,P20,"where in the united kingdom did  elizabeth stuart, queen of bohemia die","dict_keys(['mother', 'participant', 'depicts', 'spouse', 'child', 'student', 'main subject', 'relative', 'sibling'])","dict_values(['P25', 'P710', 'P180', 'P26', 'P40', 'P802', 'P921', 'P1038', 'P3373'])"
Q4878486,P86,what music is in the film because they're young,dict_keys(['follows']),dict_values(['P155'])
Q147443,P65,where was 2088 sahlia discovered,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q366725,P20,Where did john basilone die,"dict_keys(['named after', 'characters'])","dict_values(['P138', 'P674'])"
Q483251,P136,What is the name of a death metal artist,"dict_keys(['genre', 'subclass of', 'based on', 'field of work', 'main subject', 'facet of', 'different from', ""category's main topic"", 'category combines topics'])","dict_values(['P136', 'P279', 'P144', 'P101', 'P921', 'P1269', 'P1889', 'P301', 'P971'])"
Q7825253,P27,what nationality is tor hyams,dict_keys(['composer']),dict_values(['P86'])
Q16009941,P19,what is jack chalmers's place of birth?,dict_keys(['cast member']),dict_values(['P161'])
Q2278099,P136,what type of film is a killer movie?,dict_keys([]),dict_values([])
Q5371241,P413,What position does emil frisk  play,dict_keys([]),dict_values([])
Q2279587,P136,what type of game is shivers ii: harvest of souls?,dict_keys(['followed by']),dict_values(['P156'])
Q214475,P172,what is the ethnicity of ayaan hirsi ali,"dict_keys(['spouse', 'author', 'talk show guest', 'child', 'cast member', 'producer', ""category's main topic"", 'founded by', 'signatory', 'screenwriter', 'winner'])","dict_values(['P26', 'P50', 'P5030', 'P40', 'P161', 'P162', 'P301', 'P112', 'P1891', 'P58', 'P1346'])"
Q542475,P136,What is the name of a costume drama program?,"dict_keys(['genre', 'said to be the same as', 'subclass of', ""category's main topic""])","dict_values(['P136', 'P460', 'P279', 'P301'])"
Q1536003,P264,which artist is with philips records?,"dict_keys(['record label', 'founded by', 'distributed by', 'producer', 'owned by', 'business division', 'employer', 'category combines topics'])","dict_values(['P264', 'P112', 'P750', 'P162', 'P127', 'P199', 'P108', 'P971'])"
Q93788,P162,which films have been produced by max fleischer?,"dict_keys(['director', 'father', 'author', 'producer', 'discoverer or inventor', 'screenwriter', 'cast member', 'founded by', 'creator', 'animator', 'main subject', 'influenced by', 'sibling', 'relative', ""category's main topic""])","dict_values(['P57', 'P22', 'P50', 'P162', 'P61', 'P58', 'P161', 'P112', 'P170', 'P6942', 'P921', 'P737', 'P3373', 'P1038', 'P301'])"
Q1413471,P86,who composed königskinder?,dict_keys(['present in work']),dict_values(['P1441'])
Q4317478,P21,is alessandro neri male or female,dict_keys(['has part(s)']),dict_values(['P527'])
Q2468401,P495,where did the film a hole in the head take place?,dict_keys(['based on']),dict_values(['P144'])
Q130232,P136,what's a japanese drama film from 2002,"dict_keys(['subclass of', 'genre', 'instance of', ""category's main topic"", 'field of work', 'composer', 'category combines topics', 'main subject', 'facet of', 'different from'])","dict_values(['P279', 'P136', 'P31', 'P301', 'P101', 'P86', 'P971', 'P921', 'P1269', 'P1889'])"
Q1755864,P86,which musician wrote in naked lunch,dict_keys(['derivative work']),dict_values(['P4969'])
Q1794306,P364,in what language is six stories written,dict_keys(['published in']),dict_values(['P1433'])
Q18426,P19,Who is one person born in the bronx?,"dict_keys(['place of birth', 'contains the administrative territorial entity', 'place of death', 'shares border with', 'located in the administrative territorial entity', 'named after', 'headquarters location', 'location', 'residence', 'location of formation', 'twinned administrative body', 'filming location', 'coextensive with', 'different from', 'terminus location', 'category combines topics', 'narrative location', 'place of publication', 'place of burial', 'main subject', ""category's main topic"", 'indigenous to', 'country', 'depicts', 'work location', 'country of citizenship', 'applies to jurisdiction'])","dict_values(['P19', 'P150', 'P20', 'P47', 'P131', 'P138', 'P159', 'P276', 'P551', 'P740', 'P190', 'P915', 'P3403', 'P1889', 'P609', 'P971', 'P840', 'P291', 'P119', 'P921', 'P301', 'P2341', 'P17', 'P180', 'P937', 'P27', 'P1001'])"
Q822057,P57,who was the director for primal fear,"dict_keys(['different from', 'present in work', 'derivative work'])","dict_values(['P1889', 'P1441', 'P4969'])"
Q285276,P136,what kind of show is camp lazlo,"dict_keys(['notable work', ""category's main topic""])","dict_values(['P800', 'P301'])"
Q77696,P20,where did  curt von gottberg die,dict_keys([]),dict_values([])
Q800120,P178,what sports games has humongous entertainment developed,"dict_keys(['publisher', 'developer', 'has subsidiary', 'parent organization'])","dict_values(['P123', 'P178', 'P355', 'P749'])"
Q202027,P1303,who is a person that plays the cornet,"dict_keys(['named after', 'instrument', 'instrumentation', 'product or material produced', 'instance of', 'occupation', 'different from', 'item for this sense', 'depicts', 'main subject', ""category's main topic"", 'category combines topics', 'uses'])","dict_values(['P138', 'P1303', 'P870', 'P1056', 'P31', 'P106', 'P1889', 'P5137', 'P180', 'P921', 'P301', 'P971', 'P2283'])"
Q47122,P175,What is a album done by enrique iglesias,"dict_keys(['father', 'child', 'composer', 'cast member', 'producer', 'performer', ""category's main topic"", 'category combines topics', 'lyrics by', 'unmarried partner', 'winner', 'different from', 'sibling', 'template has topic', 'adapted by'])","dict_values(['P22', 'P40', 'P86', 'P161', 'P162', 'P175', 'P301', 'P971', 'P676', 'P451', 'P1346', 'P1889', 'P3373', 'P1423', 'P5202'])"
Q7172718,P21,What is peter baxter's gender?,dict_keys([]),dict_values([])
Q11399,P136,what album contains rock music,"dict_keys(['depicts', 'field of work', 'record label', 'genre', 'subclass of', 'occupation', 'movement', 'is metaclass for', 'is a list of', 'part of', 'radio format', 'influenced by', 'interested in', 'field of this occupation', 'notable work', 'main subject', 'category combines topics', ""Wikimedia portal's main topic"", 'facet of', 'template has topic', 'item for this sense', 'has quality', 'Wikidata property example', ""category's main topic"", 'named after', 'based on'])","dict_values(['P180', 'P101', 'P264', 'P136', 'P279', 'P106', 'P135', 'P8225', 'P360', 'P361', 'P415', 'P737', 'P2650', 'P425', 'P800', 'P921', 'P971', 'P1204', 'P1269', 'P1423', 'P5137', 'P1552', 'P1855', 'P301', 'P138', 'P144'])"
Q16729211,P19,where was humberto gatica born,"dict_keys(['producer', 'winner'])","dict_values(['P162', 'P1346'])"
Q360160,P140,What religion does gotse delchev subscribe to,"dict_keys(['child', 'named after', 'located in the administrative territorial entity', 'sibling', ""category's main topic"", 'depicts', 'relative'])","dict_values(['P40', 'P138', 'P131', 'P3373', 'P301', 'P180', 'P1038'])"
Q5422950,P21,what gender is eynon evans?,dict_keys(['cast member']),dict_values(['P161'])
Q1142885,P413,who was an outfielder in baseball,"dict_keys(['subclass of', 'position played on team / speciality', 'item for this sense', 'occupation', ""category's main topic"", 'participant', 'position held'])","dict_values(['P279', 'P413', 'P5137', 'P106', 'P301', 'P710', 'P39'])"
Q7297445,P737,"who was ray ellin, the comedian influenced by",dict_keys([]),dict_values([])
Q6688792,P19,Where was louise howard born?,dict_keys(['sibling']),dict_values(['P3373'])
Q389046,P131,what county is stone creek in,dict_keys(['place of birth']),dict_values(['P19'])
Q132311,P136,what is the name of a  fantasy movie,"dict_keys(['instance of', 'field of work', 'genre', 'movement', 'part of', 'item for this sense', 'interested in', 'main subject', 'category combines topics', 'facet of', ""Wikimedia portal's main topic"", 'different from', 'partially coincident with', 'subclass of', ""category's main topic"", 'field of usage', 'is metaclass for', 'named after'])","dict_values(['P31', 'P101', 'P136', 'P135', 'P361', 'P5137', 'P2650', 'P921', 'P971', 'P1269', 'P1204', 'P1889', 'P1382', 'P279', 'P301', 'P9488', 'P8225', 'P138'])"
Q36036,P19,Which Polish boxer was born in lviv?,"dict_keys(['place of birth', 'has part(s)', 'residence', 'location', 'place of publication', 'depicts', 'terminus location', 'twinned administrative body', 'is a list of', 'location of formation', 'narrative location', 'filming location', 'main subject', 'place served by transport hub', 'work location', 'category combines topics', ""category's main topic"", 'place of death', 'applies to jurisdiction', 'connects with', 'operating area', 'location of creation', 'licensed to broadcast to', ""Wikimedia portal's main topic"", 'facet of', 'Wikidata property example', 'destination point', 'published in', 'demonym of', 'item for this sense', 'location of first performance', 'significant place', 'located in the administrative territorial entity', 'capital', 'member of sports team', 'field of work', 'educated at', 'place of burial', 'named after', 'headquarters location', 'owned by'])","dict_values(['P19', 'P527', 'P551', 'P276', 'P291', 'P180', 'P609', 'P190', 'P360', 'P740', 'P840', 'P915', 'P921', 'P931', 'P937', 'P971', 'P301', 'P20', 'P1001', 'P2789', 'P2541', 'P1071', 'P1408', 'P1204', 'P1269', 'P1855', 'P1444', 'P1433', 'P6271', 'P5137', 'P4647', 'P7153', 'P131', 'P36', 'P54', 'P101', 'P69', 'P119', 'P138', 'P159', 'P127'])"
Q935982,P40,Who is vagif mustafazade's daughter,dict_keys(['father']),dict_values(['P22'])
Q5247230,P495,where does the show death unexplained broadcast,dict_keys([]),dict_values([])
Q114562,P31,Which type of space object is 675 ludmilla,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q302,P138,what educational institution was named after jesus christ,"dict_keys(['depicts', 'named after', 'dedicated to', 'father', 'has part(s)', 'commemorates', 'head of state', 'child', 'author', 'founded by', 'owned by', 'creator', 'based on', 'part of', 'patron saint', 'influenced by', 'given name', 'speaker', 'said to be the same as', 'characters', 'of', 'participant', 'main subject', 'significant person', 'item for this sense', 'time period', 'partnership with', 'studies', 'symbolizes', 'permanent duplicated item', 'inscription mentions', 'category combines topics', 'inspired by', 'relative', 'student of', 'facet of', 'represents', 'fictional analog of', 'Wikidata property example', 'used by', 'replaces', 'addressee', 'different from', 'narrative motif', ""category's main topic""])","dict_values(['P180', 'P138', 'P825', 'P22', 'P527', 'P547', 'P35', 'P40', 'P50', 'P112', 'P127', 'P170', 'P144', 'P361', 'P417', 'P737', 'P735', 'P823', 'P460', 'P674', 'P642', 'P710', 'P921', 'P3342', 'P5137', 'P2348', 'P2652', 'P2578', 'P4878', 'P2959', 'P6568', 'P971', 'P941', 'P1038', 'P1066', 'P1269', 'P1268', 'P1074', 'P1855', 'P1535', 'P1365', 'P1817', 'P1889', 'P6962', 'P301'])"
Q5970958,P364,in what language was the film the faces of the moon done,dict_keys([]),dict_values([])
Q132438,P136,what black metal album was released in 1991,"dict_keys(['genre', 'field of work', 'subclass of', 'main subject', 'record label', 'category combines topics', ""category's main topic""])","dict_values(['P136', 'P101', 'P279', 'P921', 'P264', 'P971', 'P301'])"
Q970502,P136,what kind of music do the kingsmen create,"dict_keys(['performer', 'cast member', ""category's main topic"", 'category combines topics', 'influenced by', 'member of'])","dict_values(['P175', 'P161', 'P301', 'P971', 'P737', 'P463'])"
Q9576,P27,what country is james callaghan from,"dict_keys(['head of government', 'father', 'spouse', 'child', 'depicts', ""category's main topic"", 'candidate', 'main subject', 'successful candidate'])","dict_values(['P6', 'P22', 'P26', 'P40', 'P180', 'P301', 'P726', 'P921', 'P991'])"
Q6210003,P19,what city was joe genewich born in,dict_keys([]),dict_values([])
Q6033250,P20,where did orhan aksoy die,"dict_keys(['director', 'category combines topics', 'screenwriter'])","dict_values(['P57', 'P971', 'P58'])"
Q2057983,P140,what religion does joseph lapira practice,dict_keys([]),dict_values([])
Q485024,P131,what is a city in jefferson county,"dict_keys(['shares border with', 'located in the administrative territorial entity', 'contains the administrative territorial entity', 'location', 'category combines topics', 'applies to jurisdiction', 'capital of', ""category's main topic"", 'different from'])","dict_values(['P47', 'P131', 'P150', 'P276', 'P971', 'P1001', 'P1376', 'P301', 'P1889'])"
Q7673079,P136,what music genre is tabitha's secret??,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q176068,P17,which country contains taylor county,"dict_keys(['category combines topics', 'place of birth', 'shares border with', 'located in the administrative territorial entity', 'capital of', 'contains the administrative territorial entity', 'location', 'different from', ""category's main topic"", 'operating area'])","dict_values(['P971', 'P19', 'P47', 'P131', 'P1376', 'P150', 'P276', 'P1889', 'P301', 'P2541'])"
Q2798646,P175,who is american singer has fundamental album,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q5359862,P136,what type of music is elf-titled?,dict_keys(['followed by']),dict_values(['P156'])
Q174555,P57,who directed the movie madagascar,"dict_keys(['followed by', 'has part(s)', 'notable work', 'present in work', 'different from'])","dict_values(['P156', 'P527', 'P800', 'P1441', 'P1889'])"
Q448462,P413,which position did paddy driscoll play in football,dict_keys(['head coach']),dict_values(['P286'])
Q3636501,P710,Who was involved in the battle of lincoln?,dict_keys([]),dict_values([])
Q16202878,P136,the album amoeba cleansing syndrome is what kind of music,dict_keys([]),dict_values([])
